,E_IQA_Intra(A)-n1,E_IQA_Intra(A)-c2,E_IQA_Intra(A)-h3,E_IQA_Intra(A)-h4,E_IQA_Intra(A)-c5,E_IQA_Intra(A)-h6,E_IQA_Intra(A)-h7,E_IQA_Intra(A)-c8,E_IQA_Intra(A)-h9,E_IQA_Intra(A)-h10,E_IQA_Intra(A)-c11,E_IQA_Intra(A)-h12,E_IQA_Intra(A)-h13,E_IQA_Intra(A)-n14,E_IQA_Intra(A)-h15,E_IQA_Intra(A)-n16,E_IQA_Intra(A)-h17,E_IQA_Intra(A)-s18,E_IQA_Intra(A)-s19,E_IQA_Intra(A)-c20,E_IQA_Intra(A)-h21,E_IQA_Intra(A)-h22,E_IQA_Intra(A)-h23,E_IQA_Intra(A)-c24,E_IQA_Intra(A)-h25,E_IQA_Intra(A)-h26,E_IQA_Intra(A)-h27,E_IQA_Intra(A)-o28,E_IQA_Intra(A)-o29,E_IQA_Intra(A)-o30,E_IQA_Intra(A)-o31,E_IQA_Intra(A)-s32,E_IQA_Intra(A)-o33,E_IQA_Intra(A)-o34,E_IQA_Intra(A)-c35,E_IQA_Intra(A)-h36,E_IQA_Intra(A)-h37,E_IQA_Intra(A)-h38
10,-142084.298061067,-98536.3541336495,-1195.108218270195,-1155.673037980265,-98529.7399267905,-1192.6095312592001,-1186.213747490425,-98539.7373897065,-1178.503338090705,-1201.718014184175,-98525.48406743,-1196.000986411385,-1191.75462387821,-142235.6503567105,-979.1834178442949,-142193.83156599352,-971.655781314325,-1038150.916274755,-1038204.91291162,-98842.487940371,-1194.3481298240151,-1191.111480689325,-1191.09362999359,-98842.0275195635,-1177.44396530259,-1193.3592033754448,-1193.245520958275,-196129.400847413,-196108.841901169,-196111.6393215345,-196128.89103307397,-1038422.6876871301,-196100.726575187,-196108.7792593645,-98841.889462897,-1190.6265783808199,-1191.46169295747,-1175.64631233771
11,-142108.72087427048,-98538.3228543225,-1196.52861421653,-1158.72851073299,-98534.026205194,-1192.631509766035,-1185.74553154717,-98539.6410601115,-1179.2790543005349,-1201.693269634325,-98528.193242115,-1193.009111591495,-1189.869091936415,-142242.1643587365,-978.53695471066,-142191.4359285185,-969.23731115232,-1038148.079947105,-1038203.18906083,-98842.3321248225,-1194.43825995714,-1191.1478751602851,-1191.247911016105,-98839.7777496175,-1188.124438312225,-1192.56357377206,-1192.524145089515,-196129.2669652915,-196109.59588700798,-196113.42282631,-196129.30069509,-1038457.97466968,-196109.40658320702,-196111.17480757248,-98841.484878598,-1190.215354796185,-1191.7496377386499,-1176.55304672113
12,-142125.2012900495,-98541.3672108395,-1196.3833582715001,-1160.512162090155,-98535.972735141,-1192.3652521137,-1185.76579358087,-98539.721082726,-1178.93893508451,-1201.599528572285,-98529.681459531,-1192.32368855834,-1189.097526327025,-142249.971007309,-977.7031836286151,-142190.840073919,-969.574111001205,-1038145.33674594,-1038217.21621466,-98842.45610355801,-1194.38380787479,-1191.19808299061,-1191.16829532785,-98839.6387188905,-1190.186343808835,-1192.387663250425,-1192.300060292325,-196129.143144086,-196109.01332268948,-196114.564162666,-196129.843265167,-1038480.46275981,-196110.7895206985,-196112.17371843001,-98842.0307594305,-1190.1328559676151,-1191.86511542021,-1175.426265533265
13,-142130.497808343,-98542.659888892,-1196.73676049589,-1161.27795257098,-98537.098476027,-1192.11683260721,-1185.79328335352,-98540.196671047,-1178.455725855935,-1201.55654953111,-98530.7211391525,-1192.58367192205,-1188.1916582535848,-142248.027071356,-975.8445444732799,-142191.3192880555,-970.2157267529551,-1038145.210223095,-1038213.263997,-98842.20684646451,-1194.31417200084,-1191.23464586114,-1191.07860725016,-98839.43094207149,-1191.322300515335,-1192.290607652165,-1191.93709822861,-196129.285461939,-196108.7186103145,-196114.82017517101,-196129.650217403,-1038486.42915605,-196110.93877512251,-196111.73413621602,-98842.2854591855,-1190.121386418355,-1192.08683112373,-1174.79375845492
14,-142126.539882846,-98541.50454286799,-1196.55307993828,-1161.39460999471,-98537.0600938425,-1191.919912256965,-1185.23383955559,-98540.62170274,-1177.75127629687,-1201.601181061985,-98530.099544151,-1193.5852720792,-1188.904391133875,-142244.579611322,-974.8995534830249,-142193.210585359,-971.0360636503451,-1038149.037834525,-1038204.472956585,-98842.3814842225,-1194.283849707515,-1191.2923807111601,-1191.014604937815,-98839.189613988,-1191.79631219733,-1192.40285216175,-1191.674425381465,-196129.38950787848,-196107.851173995,-196115.2798870935,-196129.49081804702,-1038479.3295940099,-196110.56469125702,-196110.313373146,-98842.586197083,-1190.37569636537,-1192.4840712166,-1173.75670926936
15,-142117.481414252,-98538.68288913749,-1196.344739713235,-1162.354602461845,-98536.670839838,-1191.348643364565,-1184.7396242310151,-98539.434750947,-1177.88201212419,-1201.6413745264251,-98527.8695153395,-1194.5825325999099,-1189.13510928307,-142237.6934052885,-974.18688432362,-142188.21504125802,-970.7329928910749,-1038142.12066597,-1038189.557018495,-98842.205158268,-1194.344888539245,-1191.409645859375,-1190.99523292236,-98838.8953243185,-1192.44040358554,-1192.492215018755,-1191.7718362098751,-196129.59977367148,-196107.7345729145,-196114.3287472085,-196128.969614289,-1038462.619730535,-196109.93887182602,-196109.4849360035,-98842.47024187549,-1190.55479820851,-1192.80523560912,-1173.712568812005
16,-142108.682854405,-98535.162694877,-1196.128383075295,-1164.168412333645,-98536.4963989925,-1190.4359712553648,-1184.487735388825,-98539.6445677795,-1178.06985887771,-1201.67423468056,-98524.672950711,-1195.93734494776,-1188.8563638600651,-142228.819711508,-973.73536075801,-142186.2888510595,-970.331496915215,-1038140.340235655,-1038171.8178014901,-98842.278378212,-1194.350155292245,-1191.509695682855,-1190.94362835229,-98838.3837456435,-1192.813089293525,-1192.53893571249,-1191.913596616715,-196129.7655214865,-196107.506445845,-196113.647873668,-196128.3330276825,-1038447.79959694,-196109.494736995,-196109.1705691355,-98842.3993901325,-1190.67986285081,-1193.053526702405,-1173.547568686895
17,-142103.639410682,-98532.16616184251,-1195.8400919119001,-1165.92436571601,-98537.013598863,-1189.055597354575,-1184.54711797639,-98539.2326163275,-1178.458511563945,-1201.623850259105,-98521.68961343949,-1197.420747380545,-1187.780406497335,-142220.655314931,-973.75299991721,-142182.3676668095,-969.70511092757,-1038135.4992337349,-1038156.42601778,-98842.17754063351,-1194.3822584884751,-1191.614198091785,-1190.910002234785,-98838.3399943115,-1193.049471670165,-1192.518100033295,-1192.10291493673,-196129.6677163605,-196107.725717103,-196112.7336876955,-196127.6822870055,-1038439.0099480399,-196109.30333804502,-196109.38894247252,-98842.23935278,-1190.6927859556351,-1193.0745572199548,-1173.641053395115
18,-142049.7879560905,-98515.523834104,-1193.2110634236851,-1191.902041686195,-98523.74687384898,-1197.442884073755,-1171.6077429804,-98521.29858197151,-1180.355435786535,-1200.71199895997,-98529.0749033935,-1187.7578577844101,-1177.9552289701,-142201.84402226,-981.9607048518501,-142062.8195360735,-984.92212481692,-1037917.77704699,-1038113.99153156,-98838.22049993002,-1192.94321566353,-1191.791282815785,-1194.18080122172,-98842.44697994551,-1182.227860838505,-1193.578957200345,-1193.62984997111,-196104.5430361185,-196086.949001387,-196121.0585653345,-196131.92614258002,-1038331.2925618499,-196108.78070076398,-196109.03589673853,-98842.04960264401,-1193.25182050421,-1187.927320445615,-1172.24303343006
19,-142067.041904556,-98519.308749653,-1191.47823843839,-1192.47458607275,-98523.7194347485,-1197.038173908285,-1174.27602103955,-98522.644316128,-1178.79846064757,-1200.6853746833951,-98530.2443168465,-1189.30410337129,-1178.99911852834,-142210.6332064465,-982.9790843432049,-142073.2164005515,-985.735144472065,-1037935.1293703149,-1038135.215417185,-98838.2527436955,-1192.66004719195,-1191.8668131997852,-1194.2811015704099,-98843.3696961675,-1177.67910130187,-1193.8945469999899,-1193.870322377905,-196102.637792159,-196085.99644635752,-196121.0492553115,-196131.77022988797,-1038366.8502071949,-196111.0664951955,-196109.6760829055,-98843.506791901,-1193.13033504853,-1188.084901117765,-1168.365888765705
